,정규직수
2070,38
2071,1
2072,24
2073,0
2074,108
2075,36
2076,237
2077,2
2078,110
2079,15
2080,34
2081,4
2082,30
2083,3
2084,1045
2085,102
2086,244
2087,380
2088,83
2089,0
2090,537
2091,191
2092,1169
2093,130
2094,465
2095,25
2096,510
2097,58
2098,62
2099,24
2100,100
2101,173
2102,341
2103,79
2104,326
2105,29
2106,162
2107,98
2108,421
2109,33
2110,269
2111,5
2112,120
2113,29
2114,62
2115,17
2116,6344
2117,229
2118,159
2119,42
2120,84
2121,264
2122,249
2123,9
2124,249
2125,2
2126,87
2127,47
2128,48
2129,14
2130,76
2131,12
2132,6
2133,1
2134,106
2135,20
2136,23
2137,38
2138,24
2139,96
2140,121
2141,60
2142,290
2143,65
2144,12
2145,3
2146,105
2147,43
2148,197
2149,303
2150,151
2151,19
2152,330
2153,9
2154,45
2155,7
2156,23
2157,10
2158,133
2159,7
2160,12
2161,12
2162,6
2163,7
2164,147
2165,22
2166,226
2167,130
2168,545
2169,25
2170,188
2171,5
2172,335
2173,15
2174,77
2175,34
2176,82
2177,21
2178,79
2179,10
2180,159
2181,31
2182,22
2183,25
2184,100
2185,5
2186,2
2187,9
2188,7
2189,10
2190,2
2191,7
2192,61
2193,6
2194,86
2195,60
2196,180
2197,13
2198,511
2199,109
2200,397
2201,113
2202,32
2203,40
2204,22
2205,42
2206,169
2207,9
2208,17
2209,3
2210,17
2211,6
2212,3
2213,3
2214,7
2215,12
2216,5
2217,311
2218,95
2219,52
2220,17
2221,202
2222,7
2223,15
2224,80
2225,0
2226,0
2227,360
2228,15
2229,74
2230,14
2231,214
2232,13
2233,128
2234,4
2235,138
2236,37
2237,67
2238,11
2239,85
2240,18
2241,112
2242,80
2243,91
2244,107
2245,35
2246,19
2247,10
2248,3
2249,26
2250,36
2251,44
2252,12
2253,8
2254,1
2255,13
2256,12
2257,222
2258,56
2259,9
2260,5
2261,9
2262,6
2263,10
2264,1
2265,43
2266,71
2267,12
2268,33
2269,12
2270,222
2271,9
2272,220
2273,39
2274,32
2275,6
2276,7
2277,0
2278,11
2279,0
2280,12
2281,2
2282,84
2283,21
2284,120
2285,31
2286,69
2287,9
2288,186
2289,13
2290,41
2291,2
2292,100
2293,25
2294,24
2295,17
2296,32
2297,10
2298,28
2299,4
2300,38
2301,24
2302,18
2303,2
2304,9
2305,6
2306,8
2307,5
2308,15
2309,11
2310,8
2311,5
2312,139
2313,152
2314,73
2315,95
2316,5
2317,7
2318,6
2319,51
2320,7
2321,147
2322,84
2323,13
2324,2
2325,4
2326,29
2327,1
2328,43
2329,37
2330,30
2331,2
2332,4
2333,5
2334,34
2335,34
2336,13
2337,6
2338,60
2339,22
2340,74
2341,185
2342,96
2343,14
2344,35
2345,27
2346,101
2347,30
2348,3
2349,1
2350,4
2351,9
2352,3
2353,3
2354,1
2355,4
2356,9
2357,3
2358,159
2359,42
2360,0
2361,0
2362,29
2363,11
2364,1
2365,0
2366,12
2367,3
2368,19
2369,2
2370,2
2371,2
2372,4
2373,273
2374,12
2375,6
2376,4
2377,80
2378,38
2379,0
2380,203
2381,12
2382,68
2383,2
2384,33
2385,7
2386,229
2387,11
2388,401
2389,13
2390,682
2391,51
2392,308
2393,7
2394,343
2395,19
2396,397
2397,48
2398,2131
2399,138
2400,172
2401,198
2402,1203
2403,171
2404,514
2405,202
2406,71
2407,26
2408,745
2409,738
2410,2018
2411,3091
2412,3803
2413,9558
2414,2122
2415,4135
2416,31
2417,16
2418,721
2419,85
2420,737
2421,283
2422,572
2423,135
2424,183
2425,129
2426,245
2427,101
2428,1771
2429,751
2430,968
2431,600
2432,137
2433,44
2434,3022
2435,830
2436,1328
2437,259
2438,696
2439,730
2440,272
2441,148
2442,2717
2443,347
2444,246
2445,164
2446,856
2447,197
2448,467
2449,130
2450,894
2451,338
2452,1514
2453,1126
2454,168
2455,29
2456,18
2457,8
2458,68
2459,9
2460,201
2461,99
2462,8
2463,3
2464,11
2465,3
2466,32
2467,19
2468,216
2469,226
2470,8
2471,5
2472,75
2473,3
2474,24
2475,185
2476,2
2477,2
2478,102
2479,99
2480,16
2481,4
2482,36
2483,10
2484,27
2485,8
2486,243
2487,57
2488,13
2489,3
2490,14
2491,13
2492,10
2493,10
2494,2
2495,4
2496,27
2497,8
2498,8
2499,5
2500,11
2501,2
2502,5
2503,1
2504,76
2505,2
2506,16
2507,6
2508,3
2509,11
2510,3
2511,179
2512,8
2513,102
2514,26
2515,276
2516,307
2517,302
2518,78
2519,10
2520,87
2521,18
2522,79
2523,54
2524,162
2525,8
2526,199
2527,232
2528,4138
2529,190
2530,150
2531,27
2532,11
2533,8
2534,37
2535,9
2536,42
2537,5
2538,40
2539,4
2540,30
2541,21
2542,208
2543,60
2544,666
2545,359
2546,895
2547,92
2548,13
2549,11
2550,71
2551,14
2552,37
2553,5
2554,31
2555,8
2556,108
2557,9
2558,18
2559,3
2560,107
2561,5
2562,38
2563,137
2564,347
2565,82
2566,54
2567,17
2568,15
2569,57
2570,19
2571,33
2572,68
2573,534
2574,336
2575,161
2576,154
2577,243
2578,87
2579,77
2580,23
2581,30
2582,12
2583,47
2584,6
2585,34
2586,30
2587,14
2588,13
2589,6
2590,1
2591,10
2592,12
2593,4
2594,2
2595,0
2596,1
2597,98
2598,86
2599,60
2600,31
2601,21
2602,24
2603,20
2604,3
2605,36
2606,14
2607,8
2608,3
2609,301
2610,196
2611,22
2612,11
2613,51
2614,67
2615,11
2616,38
2617,27
2618,28
2619,89
2620,133
2621,5
2622,2
2623,3
2624,8
2625,2
2626,42
2627,75
2628,10
2629,5
2630,74
2631,102
2632,9
2633,7
2634,262
2635,120
2636,11
2637,55
2638,5
2639,13
2640,954
2641,715
2642,14
2643,4
2644,47
2645,6
2646,205
2647,24
2648,384
2649,98
2650,10
2651,7
2652,3
2653,21
2654,136
2655,97
2656,38
2657,17
2658,49
2659,12
2660,396
2661,124
2662,46
2663,10
2664,2
2665,6
2666,3
2667,2
2668,8
2669,0
2670,0
2671,153
2672,23
2673,79
2674,57
2675,21
2676,21
2677,27
2678,13
2679,355
2680,158
2681,102
2682,44
2683,646
2684,443
2685,7
2686,1
2687,57
2688,15
2689,54
2690,10
2691,92
2692,6
2693,1056
2694,184
2695,61
2696,2
2697,4
2698,7
2699,3
2700,2
2701,7
2702,1
2703,77
2704,28
2705,270
2706,15
2707,266
2708,56
2709,13
2710,12
2711,0
2712,3
2713,0
2714,22
2715,9
2716,5
2717,7
2718,67
2719,5
2720,288
2721,14
2722,326
2723,32
2724,196
2725,8
2726,409
2727,20
2728,306
2729,142
2730,28
2731,30
2732,50
2733,11
2734,83
2735,31
2736,1704
2737,464
2738,22
2739,11
2740,311
2741,24
2742,147
2743,8
2744,19
2745,7
2746,6
2747,1
2748,19
2749,6
2750,5
2751,3
2752,1
2753,5
2754,2
2755,1
2756,1
2757,0
2758,15
2759,2
2760,2
2761,5
2762,259
2763,338
2764,234
2765,203
2766,207
2767,82
2768,806
2769,992
2770,501
2771,199
2772,678
2773,738
2774,53
2775,12
2776,314
2777,242
2778,12
2779,17
2780,275
2781,26
2782,7
2783,2
2784,11
2785,2
2786,5
2787,2
2788,21
2789,11
2790,22
2791,42
2792,8
2793,6
2794,20
2795,34
2796,28
2797,18
2798,92
2799,17
2800,84
2801,8
2802,192
2803,18
2804,32
2805,4
2806,60
2807,36
2808,33
2809,10
2810,272
2811,9
2812,1
2813,27
2814,25
2815,2
2816,2
2817,119
2818,15
2819,2
2820,46
2821,1
2822,1
2823,74
2824,14
2825,158
2826,42
2827,152
2828,5
2829,60
2830,40
2831,50
2832,13
2833,78
2834,36
2835,0
2836,0
2837,140
2838,146
2839,9
2840,2
2841,4
2842,7
2843,5
2844,6
2845,3
2846,4
2847,19
2848,9
2849,1
2850,2
2851,224
2852,125
2853,101
2854,62
2855,104
2856,78
2857,14
2858,13
2859,48
2860,6
2861,63
2862,43
2863,66
2864,54
2865,79
2866,33
2867,5
2868,5
2869,43
2870,6
2871,34
2872,18
2873,55
2874,3
2875,17
2876,6
2877,35
2878,26
2879,82
2880,66
2881,2
2882,1
2883,1
2884,5
2885,2
2886,1
2887,20
2888,22
2889,4
2890,3
2891,12
2892,12
2893,4
2894,4
2895,21
2896,16
2897,55
2898,71
2899,15
2900,16
2901,45
2902,34
2903,10
2904,6
2905,6
2906,1
2907,1
2908,1
2909,1
2910,3
2911,2
2912,32
2913,4
2914,176
2915,53
2916,76
2917,10
2918,205
2919,50
2920,44
2921,66
2922,120
2923,16
2924,46
2925,12
2926,210
2927,23
2928,15
2929,13
2930,52
2931,0
2932,19
2933,0
2934,17
2935,3
2936,8
2937,4
2938,2
2939,8
2940,2
2941,14
2942,6
2943,98
2944,50
2945,126
2946,16
2947,3
2948,6
2949,21
2950,17
2951,94
2952,50
2953,0
2954,0
2955,317
2956,22
2957,55
2958,1
2959,4
2960,1
2961,46
2962,3
2963,27
2964,23
2965,11
2966,20
2967,104
2968,28
2969,84
