,rcept_no,reprt_code,bsns_year,corp_code,stock_code,매출액,영업이익,자산총계
2714,20180330003042,11011,2017,00138701,002030,"1,197,764,022,366","64,147,138,412","1,816,402,594,147"
2715,20180330003079,11011,2017,00158015,025550,"166,652,791,973","6,836,509,377","182,356,939,600"
2716,20180330003087,11011,2017,00148540,001040,"26,898,599,989,000","1,325,955,339,000","29,325,383,064,000"
2717,20180330003091,11011,2017,00129280,011230,"44,179,994,727","-1,267,470,887","64,321,796,133"
2718,20180330003111,11011,2017,00173944,105840,"98,260,858,943","-2,780,673,712","189,515,105,974"
2719,20180330003120,11011,2017,00130587,027040,"91,827,961,998","763,813,049","75,291,620,487"
2720,20180330003124,11011,2017,00141671,010470,"167,439,882,127","6,435,321,660","207,530,480,287"
2721,20180330003129,11011,2017,00872984,139480,"15,876,686,561,466","566,919,510,328","16,066,507,597,137"
2722,20180330003156,11011,2017,00118804,005290,"785,154,565,399","71,904,939,416","667,169,454,942"
2723,20180330003182,11011,2017,01068658,217620,"68,808,885,519","1,528,298,258","54,140,507,248"
2724,20180330003185,11011,2017,00596260,079970,"39,454,564,649","-10,006,674,480","96,133,679,328"
2725,20180330003203,11011,2017,00134510,033530,"1,035,914,242,887","-6,678,924,769","900,553,567,979"
2726,20180330003219,11011,2017,00131197,021050,"257,175,363,858","12,840,330,992","212,303,072,470"
2727,20180330003259,11011,2017,00384887,071670,"212,932,769,571","-392,513,871","166,862,522,497"
2728,20180330003269,11011,2017,00186717,053620,"157,569,822,610","14,069,330,754","188,210,059,928"
2729,20180330003280,11011,2017,00820389,214870,"30,603,265,789","-5,995,308,197","73,353,796,258"
2730,20180330003288,11011,2017,00276834,052900,"51,535,606,578","578,448,540","65,717,628,404"
2731,20180330003360,11011,2017,01075126,223310,"15,183,137,605","-15,561,877,947","55,926,340,744"
2732,20180330003362,11011,2017,00106881,014990,"201,079,668,437","1,637,232,353","142,063,633,976"
2733,20180330003367,11011,2017,00318316,045390,"85,793,070,822","7,122,706,508","127,084,897,642"
2734,20180330003375,11011,2017,00127255,003720,"100,355,120,015","-13,789,220,620","112,737,911,811"
2735,20180330003411,11011,2017,00362238,079980,"1,280,979,427,250","29,573,245,328","900,280,057,663"
2736,20180330003433,11011,2017,00442835,090370,"26,832,431,614","-15,937,901,607","49,442,519,916"
2737,20180330003467,11011,2017,00123718,003000,"150,743,453,786","7,675,927,716","236,229,626,452"
2738,20180330003472,11011,2017,00974927,160550,"94,538,543,693","-5,157,020,946","256,463,072,069"
2739,20180330003473,11011,2017,00377610,058650,"4,794,418,481,981","274,575,665,936","5,254,771,564,848"
2740,20180330003489,11011,2017,00341916,048260,"397,790,874,407","21,702,287,357","555,699,305,380"
2741,20180330003525,11011,2017,00530413,224060,"73,499,953,715","-3,375,721,324","60,951,342,863"
2742,20180330003530,11011,2017,00589127,092220,"237,212,115,601","6,578,484,813","359,839,157,705"
2743,20180330003553,11011,2017,00163716,005110,"112,028,726,382","4,544,709,404","103,882,929,174"
2744,20180330003554,11011,2017,00524421,095610,"275,790,382,366","63,314,557,435","242,492,886,589"
2745,20180330003559,11011,2017,00265324,035760,"2,260,006,796,348","224,481,550,757","2,801,818,454,439"
2746,20180330003570,11011,2017,00365590,067630,"106,445,238,233","989,069,335","99,018,088,057"
2747,20180330003584,11011,2017,00385415,068330,"12,836,996,414","2,341,408,780","38,491,507,615"
2748,20180330003603,11011,2017,00359261,072950,"56,410,451,499","3,986,571,315","64,856,521,567"
2749,20180330003604,11011,2017,00105606,214330,"179,707,628,825","8,924,225,453","150,164,494,698"
2750,20180330003608,11011,2017,00409371,079950,"182,175,707,309","8,488,795,867","137,479,099,314"
2751,20180330003629,11011,2017,00163512,002320,"1,812,603,433,661","21,584,100,472","2,453,809,753,318"
2752,20180330003646,11011,2017,00409788,083650,"325,171,694,193","19,136,168,400","423,367,351,204"
2753,20180330003652,11011,2017,00202060,053270,"149,833,357,264","5,691,336,047","187,009,682,702"
2754,20180330003663,11011,2017,01059605,210540,"324,494,444,321","33,602,276,185","255,124,230,805"
2755,20180330003688,11011,2017,00159193,015760,"59,814,862,000,000","4,953,152,000,000","181,788,915,000,000"
2756,20180330003705,11011,2017,00367482,069540,"82,344,246,190","123,579,281","75,473,001,731"
2757,20180330003745,11011,2017,00253985,066620,"270,658,405,481","23,215,726,614","164,381,715,351"
2758,20180330003789,11011,2017,00373571,060240,"52,432,864,185","-43,829,724","120,692,099,543"
2759,20180330003814,11011,2017,00620558,195990,"45,943,800,698","-11,669,409,769","171,929,134,035"
2760,20180330003816,11011,2017,00693651,121800,"23,931,469,608","-6,446,262,860","163,730,637,979"
2761,20180330003840,11011,2017,00271501,045970,"424,250,341,180","16,814,261,650","331,114,666,963"
2762,20180330003860,11011,2017,01099667,217480,"127,402,378,629","19,437,156,873","128,073,430,531"
2763,20180330003873,11011,2017,00226547,053980,"66,950,982,136","1,295,401,360","81,524,492,703"
2764,20180330003880,11011,2017,00550994,099190,"156,963,800,842","22,756,027,475","234,077,005,922"
2765,20180330003884,11011,2017,00184667,023410,"1,299,043,714,906","107,568,101,958","3,677,273,732,282"
