,rcept_no,reprt_code,bsns_year,corp_code,stock_code,fs_div,fs_nm,sj_div,sj_nm,account_nm,thstrm_nm,thstrm_dt,thstrm_amount,frmtrm_nm,frmtrm_dt,frmtrm_amount,bfefrmtrm_nm,bfefrmtrm_dt,bfefrmtrm_amount,ord,currency
11,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,유동자산,제 59 기,2020.12.31 현재,"550,861,850,930",제 58 기,2019.12.31 현재,"506,529,253,917",제 57 기,2018.12.31 현재,"575,683,830,866",2,KRW
12,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,비유동자산,제 59 기,2020.12.31 현재,"1,213,832,438,923",제 58 기,2019.12.31 현재,"1,510,315,750,806",제 57 기,2018.12.31 현재,"1,630,379,322,688",4,KRW
13,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,자산총계,제 59 기,2020.12.31 현재,"1,764,694,289,853",제 58 기,2019.12.31 현재,"2,016,845,004,723",제 57 기,2018.12.31 현재,"2,206,063,153,554",6,KRW
14,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,유동부채,제 59 기,2020.12.31 현재,"1,322,626,317,370",제 58 기,2019.12.31 현재,"983,425,223,720",제 57 기,2018.12.31 현재,"993,613,040,009",8,KRW
15,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,비유동부채,제 59 기,2020.12.31 현재,"526,390,564,763",제 58 기,2019.12.31 현재,"627,880,188,221",제 57 기,2018.12.31 현재,"517,173,701,182",10,KRW
16,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,부채총계,제 59 기,2020.12.31 현재,"1,849,016,882,133",제 58 기,2019.12.31 현재,"1,611,305,411,941",제 57 기,2018.12.31 현재,"1,510,786,741,191",12,KRW
17,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,자본금,제 59 기,2020.12.31 현재,"749,200,010,000",제 58 기,2019.12.31 현재,"749,200,010,000",제 57 기,2018.12.31 현재,"689,746,980,000",15,KRW
18,20210323000883,11011,2020,00138242,003620,OFS,재무제표,BS,재무상태표,이익잉여금,제 59 기,2020.12.31 현재,"-911,685,422,530",제 58 기,2019.12.31 현재,"-421,823,237,468",제 57 기,2018.12.31 현재,"-82,483,045,437",19,KRW
19,20210323000883,11011,2020,00138242,003620,OFS,재무제표,IS,손익계산서,매출액,제 59 기,2020.01.01 ~ 2020.12.31,"2,929,789,338,247",제 58 기,2019.01.01 ~ 2019.12.31,"3,626,261,374,465",제 57 기,2018.01.01 ~ 2018.12.31,"3,705,902,889,354",24,KRW
20,20210323000883,11011,2020,00138242,003620,OFS,재무제표,IS,손익계산서,영업이익,제 59 기,2020.01.01 ~ 2020.12.31,"-446,036,350,438",제 58 기,2019.01.01 ~ 2019.12.31,"-275,199,089,245",제 57 기,2018.01.01 ~ 2018.12.31,"-61,924,190,704",26,KRW
21,20210323000883,11011,2020,00138242,003620,OFS,재무제표,IS,손익계산서,법인세차감전 순이익,제 59 기,2020.01.01 ~ 2020.12.31,"-503,265,237,525",제 58 기,2019.01.01 ~ 2019.12.31,"-341,052,097,314",제 57 기,2018.01.01 ~ 2018.12.31,"-62,442,540,455",28,KRW
22,20210323000883,11011,2020,00138242,003620,OFS,재무제표,IS,손익계산서,당기순이익,제 59 기,2020.01.01 ~ 2020.12.31,"-503,265,237,525",제 58 기,2019.01.01 ~ 2019.12.31,"-341,052,097,314",제 57 기,2018.01.01 ~ 2018.12.31,"-62,442,540,455",30,KRW
